date,location,spp,pcat,pmin,pmean,pmax,pmedian,tcc_mean,lcc_mean,mcc_mean,hcc_mean,t,msl,vis,wd,ws,r,tstm,gust,Wsymb2
2024-08-20T12:00:00Z,Helsinki,-9,0,0.0,0.0,0.0,0.0,3,0,0,3,22.4,1018.4,43.2,192,4.1,47,0,8.8,2
2024-08-20T12:00:00Z,Tampere,-9,0,0.0,0.0,0.0,0.0,6,0,0,6,20.4,1017.0,42.0,189,2.4,50,0,6.9,3
