Date,Time,Location,Temperature [°C],Relative humidity [%],Wind speed [m/s],Wind direction [°],Precipitation [mm],Air pressure [hPa]
2024-08-20,10:00,Vantaa Helsinki-Vantaa airport,16.6,71,0.7,119,0,1018.5
2024-08-20,10:00,Pirkkala Tampere-Pirkkala airport,14.1,90,2.5,171,-,1017.8
