date,location,spp,pcat,pmin,pmean,pmax,pmedian,tcc_mean,lcc_mean,mcc_mean,hcc_mean,t,msl,vis,wd,ws,r,tstm,gust,Wsymb2
2024-08-20T07:00:00Z,Helsinki,-9,0,0.0,0.0,0.0,0.0,7,0,0,7,17.3,1018.5,35.1,148,1.8,57,0,4.6,3
2024-08-20T07:00:00Z,Tampere,-9,0,0.0,0.0,0.0,0.0,3,0,0,3,15.3,1017.7,25.2,168,2.4,73,0,6.0,2
